Tool,Type,Topic,Language,Input,Format input,Output,Format output,Design,Build,Test,Learn,Country/Node,Sequence (i),Protein structure (o),In_DBTL_Cycle,DB,DT,DL,BT,BL,TL,DBT,DBL,DTL,BTL,DBTL
MuSICA 2,Workflow,Sequencing,Perl,,,,,0,1,0,0,"Reginaldo Kuroshu, Masahiro Kasahara, Yutaka Suzuki, Shin-ichi Morishita",0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dotlet,Web application,"Sample collections, Sequencing, DNA, Proteins, Gene expression",Java,,,,,0,1,1,0,Marco Pagni,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Yeast MetaboliNER,Web application,"Small molecules, Metabolomics, Natural language processing, Literature and language",Perl,,,,,1,0,1,0,Web Service,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NAPP,Database portal,"Functional, regulatory and non-coding RNA, Structure prediction, Nucleic acid sites, features and motifs, Nucleic acids, Nucleic acid structure analysis",,,,,,1,0,0,0,NAPP Support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NDB Tools,Web application,"Nucleic acid structure analysis, Nucleic acids, Structure prediction, Sequence composition, complexity and repeats, Nucleic acid sites, features and motifs",,,,,,1,0,0,0,NDB Admin,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nematode.net,Database portal,"Experimental design and studies, Comparative genomics, Endocrinology and metabolism, Zoology, Molecular interactions, pathways and networks",,,,,,1,0,0,0,Webamster,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Newt-omics,Database portal,"Gene transcripts, Gene expression, Model organisms, Transcriptomics",,,,,,0,0,1,0,Newt-Omics Support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CMR,Database portal,"Sequencing, Genomics, Whole genome sequencing, Comparative genomics",,,,,,1,1,0,0,Contact form,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CMWeb,Web application,"Mapping, Structure prediction, Small molecules, Experimental design and studies, Statistics and probability","Java, C++, C",,,,,1,0,0,1,CMWeb support,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Gowinda,Ontology,"Genomics, Population genetics, Sequencing, Population genomics",Java,,,,,0,1,0,0,Robert Kofler,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GenomicTools,Suite,"Genomics, ChIP-seq, RNA-Seq","C++, C",,,,,0,0,0,0,A. Tsirigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knime4Bio,Workflow,"Genomics, Gene regulation, Transcription factors and regulatory sites",Java,,,,,0,0,0,0,Pierre LINDENBAUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PerM,Command-line tool,Genomics,C++,,,,,0,0,0,0,Yangho Chen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SwDMR,Command-line tool,"Sequencing, Epigenetics","R, Perl",,,,,0,1,0,0,"BingYu Chen, Dongsheng Huang",0,0,1,0,0,0,0,0,0,0,0,0,0,0
COMBREX,Database portal,"Genomics, Function analysis, Functional genomics, Proteins",,,,,,1,0,1,0,COMBREX Support,0,0,1,0,1,0,0,0,0,0,0,0,0,0
CompareProspector,Web application,"Sequence sites, features and motifs, Gene expression, Sample collections",,,,,,1,0,1,0,Yueyi Irene Liu,0,0,1,0,1,0,0,0,0,0,0,0,0,0
JEvTrace,Web application,"Phylogeny, Protein structural motifs and surfaces, Phylogenetics, Gene and protein families, Proteins",Java,,,,,0,0,0,0,JEvTrace team,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WebMAM,Web application,"Gene transcripts, Sequence composition, complexity and repeats, Sequencing, Phylogeny",C,,,,,0,1,0,0,Can Alkan,0,0,1,0,0,0,0,0,0,0,0,0,0,0
taveRNA,Web application,"Functional, regulatory and non-coding RNA, Gene transcripts, RNA, Structure prediction, Nucleic acid structure analysis","C++, C",,,,,1,0,0,0,taveRNA team,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LigAlign,Web application,"Protein structural motifs and surfaces, Structure analysis, Nucleic acid structure analysis, Protein structure analysis, Molecular dynamics",,,,,,0,0,0,0,LigAlign support,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cddApp,Desktop application,"Systems biology, Biotechnology, Sequence sites, features and motifs, Molecular interactions, pathways and networks",Java,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
iMembrane,Web application,"Proteins, Protein structure analysis, Molecular dynamics, Membrane and lipoproteins",Java,,,,,0,0,0,0,Charlotte Deane,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LDSO,Command-line tool,"Population genetics, Evolutionary biology, Genetics, Mapping",Fortran,,,,,0,1,0,0,Florence Ytournel,0,0,1,0,0,0,0,0,0,0,0,0,0,0
poRe,Library,"DNA, Sequencing, Data visualisation",R,,,,,0,1,1,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0
VARID,Web application,"DNA polymorphism, Genetic variation, Sequencing, Experimental design and studies",MATLAB,,,,,0,1,0,0,VARID support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cake,Command-line tool,"Genetic variation, DNA",Perl,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Meerkat,Workflow,"DNA structural variation, Sequencing, Oncology, Sequence analysis",Perl,,,,,0,1,0,0,Lixing Yang,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ChromHMM,Command-line tool,Epigenomics,Java,,,,,0,0,0,0,Jason Ernst,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPIU,Library,"Sample collections, Microarray experiment",R,,,,,0,0,0,0,Henning Redestig,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAM-T08,Web application,"Structure prediction, Protein structural motifs and surfaces, Proteins, Protein structure analysis, Molecular modelling",,,,,,1,0,0,0,SAM-T08 support,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BioPlat,Desktop application,"Oncology, Biomarkers, Gene expression",Java,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HRTBLDb,Database portal,"Transcription factors and regulatory sites, DNA binding sites, Nucleic acid sites, features and motifs, Endocrinology and metabolism","PHP, SQL",,,,,0,0,0,0,Victor Jin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONREAL,Web application,"Transcription factors and regulatory sites, Nucleic acid sites, features and motifs, Gene expression, DNA binding sites, Protein binding sites",,,,,,0,0,1,0,Eigene Berezikov,0,0,1,0,0,0,0,0,0,0,0,0,0,0
agplus,Command-line tool,"Transcription factors and regulatory sites, Gene regulation","Shell, Ruby",,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hammock,Command-line tool,"Small molecules, Protein sites, features and motifs",Perl,,,,,1,0,0,0,Adam Krejci,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Poretools,Command-line tool,"DNA, Sequencing",Python,,,,,0,1,1,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0
CoPAP,Web application,"Gene transcripts, Phylogeny, Molecular interactions, pathways and networks, DNA binding sites, Phylogenetics",C++,,,,,0,0,0,0,CoPAP Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0
illumina,Library,"Sequencing, Gene expression, Microarray experiment",R,,,,,0,1,1,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0
corRna,Web application,"Structure prediction, Genetic variation, RNA, Nucleic acid structure analysis",,,,,,1,0,0,0,"Jerome Waldispuhl, Error submission",0,0,1,0,0,0,0,0,0,0,0,0,0,0
RNA CoSSMos,Database portal,"Protein structural motifs and surfaces, RNA, Nucleic acid structure analysis, Structure prediction, Protein secondary structure",,,,,,1,0,0,0,Contact form,0,0,1,0,0,0,0,0,0,0,0,0,0,0
COXPRESdb,Database portal,"Zoology, Molecular interactions, pathways and networks, Plant biology",,,,,,0,0,0,0,COXPRESSdb Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PyWATER,"Command-line tool, Desktop application","Proteins, Molecular modelling, Protein structure analysis",Python,,,,,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HyperLasso,Command-line tool,"Genetics, DNA polymorphism, Sequence analysis, Genomics",C++,,,,,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PyFDAP,Desktop application,"Physics, Mathematics",Python,,,,,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PROCHECK,Command-line tool,"NMR, Protein structure analysis, Proteins","Fortran, C",,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOCTOPUS,Web application,"Proteins, Membrane and lipoproteins, Computational biology",Python,,,,,1,0,0,0,Arne Elofsson,0,0,1,0,0,0,0,0,0,0,0,0,0,0
InfiniumPurify,Command-line tool,"Epigenetics, Oncology, Genomics",Python,,,,,0,0,0,0,"Naiqian Zhang, Xiaoqi Zheng",0,0,0,0,0,0,0,0,0,0,0,0,0,0
AutoGRAPH,Web service,"Mapping, DNA, Comparative genomics","PHP, Perl, SQL, C",,,,,1,0,1,0,Derrien T,0,0,1,0,1,0,0,0,0,0,0,0,0,0
phenosim,Desktop application,"Genetics, Genotype and phenotype",Python,,,,,0,1,1,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0
htsint,Library,"Genetics, Sequencing, Functional genomics, Function analysis",Python,,,,,1,1,1,0,Adam J Richards,0,0,1,1,1,0,1,0,0,1,0,0,0,0
Heat seq,Web application,"ChIP-seq, RNA, Sequencing, RNA-Seq, Genomics",R,,,,,0,1,0,0,Guillaume Devailly,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ProNOI,Command-line tool,"Molecular modelling, Data visualisation, Proteins","Java, C++",,,,,1,0,1,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PSS,Command-line tool,"Protein structure analysis, Sequence analysis, Protein folding, stability and design",Perl,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ragout,Command-line tool,"Sequence assembly, DNA, Sequence analysis",Python,,,,,0,1,1,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0
iONMF,Library,"Functional, regulatory and non-coding RNA, Protein interactions, Applied mathematics",Python,,,,,0,0,0,0,University of Ljubljana Faculty of Computer and Information Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rbrothers,Library,"Phylogenetics, Evolutionary biology",R,,,,,0,0,0,0,Vladimir Minin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HTSCluster,Library,"Sequencing, Statistics and probability, Gene and protein families, Genetics",R,,,,,0,1,0,1,Andrea Rau,0,0,1,0,0,0,0,1,0,0,0,0,0,0
RecountDB,Database portal,"Mapping, Transcriptomics, RNA-Seq, Gene expression",Python,,,,,0,0,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0
